epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3459.55,1.12865,0.67377,0.84705,0.82768,0.59319,0.69679,0.40638,1.28648,0.82356,0.87436,0.0001387,0.0001387,0.0001387
89,3498.29,1.11784,0.66229,0.84614,0.65112,0.59482,0.68787,0.39985,1.2995,0.84073,0.87428,0.0001288,0.0001288,0.0001288
90,3536.84,1.09854,0.66073,0.84892,0.80588,0.59665,0.6892,0.39567,1.31639,0.8398,0.87684,0.0001189,0.0001189,0.0001189
91,3583.81,1.11848,0.67186,0.8501,0.68941,0.60626,0.68995,0.40094,1.30119,0.85058,0.87406,0.000109,0.000109,0.000109
92,3621.75,1.09558,0.64054,0.84699,0.81797,0.58662,0.68402,0.40099,1.30594,0.82936,0.87321,9.91e-05,9.91e-05,9.91e-05
93,3659.68,1.07541,0.61951,0.84354,0.66876,0.59119,0.68711,0.39437,1.31322,0.84282,0.8745,8.92e-05,8.92e-05,8.92e-05
94,3697.68,1.06586,0.61261,0.84267,0.68207,0.60848,0.69017,0.39857,1.31467,0.83894,0.87488,7.93e-05,7.93e-05,7.93e-05
95,3735.73,1.06481,0.61406,0.84373,0.682,0.63564,0.69272,0.39951,1.31345,0.84168,0.87569,6.94e-05,6.94e-05,6.94e-05
96,3773.9,1.05971,0.61382,0.84298,0.81824,0.58751,0.68674,0.39836,1.3027,0.84035,0.87336,5.95e-05,5.95e-05,5.95e-05
97,3811.9,1.05163,0.6069,0.84425,0.68747,0.61585,0.69396,0.40216,1.31385,0.84977,0.87645,4.96e-05,4.96e-05,4.96e-05
98,3849.85,1.04244,0.59487,0.84098,0.67754,0.61154,0.6979,0.40311,1.30311,0.83651,0.8735,3.97e-05,3.97e-05,3.97e-05
